study_id	organism	endpoint_1	endpoint_2
SRP065036	Homo_sapiens	SRP065036.Homo_sapiens.Pluripotent.iPSC.Huntington	SRP065036.Homo_sapiens.Progenitor.NSC.Huntington
SRP069058	Mus_musculus	SRP069058.Mus_musculus.Progenitor.ieCPC_passage_12	SRP069058.Mus_musculus.Differentiated.fibroblasts
SRP069058	Mus_musculus	SRP069058.Mus_musculus.Progenitor.ieCPC_passage_3	SRP069058.Mus_musculus.Differentiated.fibroblasts
SRP069058	Mus_musculus	SRP069058.Mus_musculus.Progenitor.ieCPC_passage_3	SRP069058.Mus_musculus.Differentiated.cardiac_derivatives
SRP069058	Mus_musculus	SRP069058.Mus_musculus.Progenitor.ieCPC_passage_12	SRP069058.Mus_musculus.Differentiated.cardiac_derivatives
SRP069250	Mus_musculus	SRP069250.Mus_musculus.Progenitor.iXEN_in_ES_cell_medium	SRP069250.Mus_musculus.Differentiated.mouse_embryonic_fibroblasts
SRP069250	Mus_musculus	SRP069250.Mus_musculus.Progenitor.iXEN_in_XEN_cell_medium	SRP069250.Mus_musculus.Differentiated.mouse_embryonic_fibroblasts
SRP071205	Mus_musculus	SRP071205.Mus_musculus.Progenitor.ciNSLC	SRP071205.Mus_musculus.Differentiated.MEF
SRP076951	Homo_sapiens	SRP076951.Homo_sapiens.Progenitor.NPC.ADRC-40_iPSC	SRP076951.Homo_sapiens.Differentiated.neurons.ADRC-40_iPSC
SRP076951	Homo_sapiens	SRP076951.Homo_sapiens.Progenitor.NPC.WT-33_iPSC	SRP076951.Homo_sapiens.Differentiated.neurons.WT-33_iPSC
SRP076951	Pan_troglodytes	SRP076951.Pan_troglodytes.Progenitor.NPC.PR00818_iPSC	SRP076951.Pan_troglodytes.Differentiated.neurons.PR00818_iPSC
SRP076951	Pan_troglodytes	SRP076951.Pan_troglodytes.Progenitor.NPC.PR01209_iPSC	SRP076951.Pan_troglodytes.Differentiated.neurons.PR01209_iPSC
