id	study_id	run_id	organism	type	descriptor	type	cell_type_color
time_course_retro_D03_Esrp1	time_course_retro	D03_Esrp1	mmu.GRCm38_84	intermediate	D03_Esrp1	intermediate	#cb467e
time_course_retro_D03_Esrp2	time_course_retro	D03_Esrp2	mmu.GRCm38_84	intermediate	D03_Esrp2	intermediate	#cb467e
time_course_retro_D03_Luc	time_course_retro	D03_Luc	mmu.GRCm38_84	intermediate	D03_Luc	intermediate	#cb467e
time_course_retro_D03_Msi1	time_course_retro	D03_Msi1	mmu.GRCm38_84	intermediate	D03_Msi1	intermediate	#cb467e
time_course_retro_D04_Ctrl	time_course_retro	D04_Ctrl	mmu.GRCm38_84	intermediate	D04_Ctrl	intermediate	#cb467e
time_course_retro_D04_Esrp1	time_course_retro	D04_Esrp1	mmu.GRCm38_84	intermediate	D04_Esrp1	intermediate	#cb467e
time_course_retro_D04_Esrp2	time_course_retro	D04_Esrp2	mmu.GRCm38_84	intermediate	D04_Esrp2	intermediate	#cb467e
time_course_retro_D04_Luc	time_course_retro	D04_Luc	mmu.GRCm38_84	intermediate	D04_Luc	intermediate	#cb467e
time_course_retro_D04_Msi1	time_course_retro	D04_Msi1	mmu.GRCm38_84	intermediate	D04_Msi1	intermediate	#cb467e
time_course_retro_D05_Ctrl	time_course_retro	D05_Ctrl	mmu.GRCm38_84	intermediate	D05_Ctrl	intermediate	#cb467e
time_course_retro_D05_Esrp1	time_course_retro	D05_Esrp1	mmu.GRCm38_84	intermediate	D05_Esrp1	intermediate	#cb467e
time_course_retro_D05_Esrp2	time_course_retro	D05_Esrp2	mmu.GRCm38_84	intermediate	D05_Esrp2	intermediate	#cb467e
time_course_retro_D05_Luc	time_course_retro	D05_Luc	mmu.GRCm38_84	intermediate	D05_Luc	intermediate	#cb467e
time_course_retro_D05_Msi1	time_course_retro	D05_Msi1	mmu.GRCm38_84	intermediate	D05_Msi1	intermediate	#cb467e
time_course_retro_D15_Ctrl	time_course_retro	D15_Ctrl	mmu.GRCm38_84	pluripotent	iPSC	iPSC	#713035
time_course_retro_D15_Esrp1	time_course_retro	D15_Esrp1	mmu.GRCm38_84	pluripotent	iPSC	iPSC	#713035
time_course_retro_D15_Esrp2	time_course_retro	D15_Esrp2	mmu.GRCm38_84	pluripotent	iPSC	iPSC	#713035
time_course_retro_D15_Luc	time_course_retro	D15_Luc	mmu.GRCm38_84	pluripotent	iPSC	iPSC	#713035
time_course_retro_D15_Msi1	time_course_retro	D15_Msi1	mmu.GRCm38_84	pluripotent	iPSC	iPSC	#713035
